year,ifr_act,ifr,robots_it
2015,200,Assembling and disassembling,4454.636597105295
2016,111,Metal casting,2799.037164706079
2016,112,Plastic moulding,8147.846588912502
2016,113,"Stamping forging, bending",981.4805642475862
2016,114,Handling operations at machine tools,6311.595120563578
2016,115,Machine tending for other processes,1373.03418617493
2016,116,"Measurement, inspection, testing",1142.464148859624
2016,117,Palletizing,5274.029952644702
2016,118,"Packaging, picking, placing",4042.245879419688
2016,119,Material handling,11872.27971419488
2016,160,Welding and soldering,11195.11005505263
2016,170,Dispensing,2067.86010943592
2016,190,Processing,2074.091732066063
2016,200,Assembling and disassembling,4786.924783721825
2017,111,Metal casting,2952.156857972708
2017,112,Plastic moulding,7823.999432085544
2017,113,"Stamping forging, bending",988.5806681919227
2017,114,Handling operations at machine tools,7314.033928832206
2017,115,Machine tending for other processes,1204.898002563728
2017,116,"Measurement, inspection, testing",1382.54991968067
2017,117,Palletizing,5632.61078388421
2017,118,"Packaging, picking, placing",5005.604017589122
2017,119,Material handling,12665.53667916078
2017,160,Welding and soldering,10792.87647049279
2017,170,Dispensing,2068.077317496633
2017,190,Processing,2062.852261110841
2017,200,Assembling and disassembling,4509.223660938844
2018,111,Metal casting,3180.085560842756
2018,112,Plastic moulding,7935.403124378414
2018,113,"Stamping forging, bending",1038.870266383096
2018,114,Handling operations at machine tools,8111.016631730343
2018,115,Machine tending for other processes,1321.332955919029
2018,116,"Measurement, inspection, testing",1587.926955031596
2018,117,Palletizing,6294.580534602262
2018,118,"Packaging, picking, placing",5969.801337270683
2018,119,Material handling,13519.06632801383
2018,160,Welding and soldering,10626.73302018147
2018,170,Dispensing,2056.582278868369
2018,190,Processing,2202.574230763346
2018,200,Assembling and disassembling,5298.026776014811
